code,code_name,close,mktcap
sh.603155,新亚强,19.7,62.93
sh.603156,养元饮品,44.15,609.79
sh.603158,腾龙股份,13.8,69.55
sh.603160,汇顶科技,63.46,304.73
sh.603162,海通发展,12.16,52.76
sh.603163,圣晖集成,115.39,116.77
sh.603165,荣晟环保,18.35,58.5
sh.603166,福达股份,14.2,93.04
sh.603169,兰石重装,8.44,113.22
sh.603171,税友股份,55.48,235.39
sh.603173,福斯达,36.56,61.2
sh.603178,圣龙股份,19.83,51.3
sh.603179,新泉股份,61.94,403.94
sh.603181,皇马科技,14.93,87.53
sh.603185,弘元绿能,20.52,147.45
sh.603186,华正新材,112.58,166.15
sh.603187,海容冷链,13.16,51.28
sh.603191,望变电气,21.81,72.88
sh.603194,中力股份,35.72,57.01
sh.603195,公牛集团,43.9,779.64
sh.603196,璞源材料,26.31,66.95
sh.603197,保隆科技,35.28,73.9
sh.603198,迎驾贡酒,36.69,289.89
sh.603200,上海洗霸,55.12,99.95
sh.603203,快克智能,59.05,153.69
sh.603206,嘉环科技,20.28,59.96
sh.603211,晋拓股份,29.54,81.15
sh.603212,赛伍技术,14.07,64.63
sh.603213,镇洋发展,13.65,60.01
sh.603216,梦天家居,27.91,62.81
sh.603217,元利科技,28.35,63.38
sh.603218,日月股份,12.12,127.32
sh.603219,富佳股份,18.11,103.0
sh.603220,中贝通信,29.92,139.63
sh.603222,济民健康,9.51,51.92
sh.603223,恒通股份,9.73,67.68
sh.603225,新凤鸣,16.61,283.13
sh.603226,菲林格尔,49.8,172.6
sh.603227,雪峰科技,8.59,93.93
sh.603228,景旺电子,75.0,717.3
sh.603229,奥翔药业,10.35,84.99
sh.603233,大参林,17.41,204.51
sh.603235,天新药业,24.81,110.38
sh.603236,移远通信,74.51,195.23
sh.603239,浙江仙通,22.25,62.2
sh.603256,宏和科技,144.88,1221.07
sh.603259,药明康德,104.23,2555.95
sh.603260,合盛硅业,39.81,492.7
sh.603267,鸿远电子,58.99,134.94
sh.603268,松发股份,143.8,356.74
sh.603269,海鸥股份,21.0,67.11
sh.603277,银都股份,12.53,78.14
sh.603278,大业股份,13.86,54.48
sh.603279,景津装备,15.19,95.7
sh.603281,江瀚新材,37.48,140.54
sh.603283,赛腾股份,67.0,180.05
sh.603286,日盈电子,68.35,78.75
sh.603288,海天味业,35.34,2018.65
sh.603290,斯达半导,122.23,299.98
sh.603291,联合水务,11.51,50.4
sh.603296,华勤技术,105.04,633.37
sh.603297,永新光学,145.35,160.39
sh.603298,杭叉集团,27.59,361.5
sh.603299,苏盐井神,10.23,81.86
sh.603300,海南华铁,6.12,129.25
sh.603301,振德医疗,90.05,244.77
sh.603303,得邦照明,22.3,105.33
sh.603305,旭升集团,17.11,196.21
sh.603306,华懋科技,107.48,364.3
sh.603308,应流股份,71.67,495.7
sh.603311,金海高科,31.2,64.74
sh.603315,福鞍股份,16.16,57.34
sh.603316,诚邦股份,27.25,58.74
sh.603317,天味食品,15.76,169.98
sh.603319,美湖股份,32.87,107.9
sh.603322,超讯通信,35.54,59.26
sh.603327,福蓉科技,10.4,112.29
sh.603328,依顿电子,11.67,120.89
sh.603333,尚纬股份,9.66,60.35
sh.603336,宏辉果蔬,12.38,75.95
sh.603337,杰克科技,41.2,195.35
sh.603338,浙江鼎力,54.75,280.54
sh.603341,龙旗科技,36.83,103.19
sh.603345,安井食品,98.21,291.98
sh.603348,文灿股份,17.7,57.28
sh.603353,和顺石油,49.95,83.0
sh.603355,莱克电气,30.2,180.62
sh.603358,华达科技,38.66,169.46
sh.603360,百傲化学,23.53,162.93
sh.603365,水星家纺,19.29,51.77
sh.603366,日出东方,7.96,67.84
sh.603367,辰欣药业,14.27,66.66
sh.603368,柳药集团,16.12,65.03
sh.603369,今世缘,28.2,350.96
sh.603379,三美股份,55.03,354.21
sh.603380,易德龙,42.7,65.79
sh.603383,顶点软件,33.25,68.65
